RuleId,NewRuleId,Phase,Description
BULD_batc_nm_NULL,LOG_DOM_ATR_015,4,부명칭 NULL 필수 (조건부)
RIVER_CTLN_FEAT_NM_NOTNULL,COM_OMS_ATR_004,4,하천명칭 필수 (조건부)
RIVER_CTLN_RVR_NO_NOTNULL,COM_OMS_ATR_005,4,하천번호 필수 (조건부)
ALL_TABLE_OBJECTID_NOTNULL,COM_OMS_ATR_006,4,OBJECTID 필수
NFID_FORMAT,LOG_FMT_ATR_002,4,NFID 포맷
객체변동구분_Code,THE_CLS_ATR_002,4,객체변동구분 코드
건물구분_Code,THE_CLS_ATR_003,4,건물구분 코드
건물기호구분_Code,THE_CLS_ATR_004,4,건물기호구분 코드
건물부속시설구분_Code,THE_CLS_ATR_005,4,건물부속시설구분 코드
건물용도구분_Code,THE_CLS_ATR_006,4,건물용도구분 코드
경지경계구분_Code,THE_CLS_ATR_007,4,경지경계구분 코드
관리기관코드_Code,THE_CLS_ATR_008,4,관리기관코드
교통시설정보구분_Codetn_rlroad_ctln,THE_CLS_ATR_009_01,4,교통시설정보구분 코드 (철도중심선)
교통시설정보구분_Codetn_rodway_bndry,THE_CLS_ATR_009_02,4,교통시설정보구분 코드 (도로경계면)
교통시설정보구분_Codetn_rodway_bndryln,THE_CLS_ATR_009_03,4,교통시설정보구분 코드 (도로경계선)
교통시설정보구분_Codetn_rodway_ctln,THE_CLS_ATR_009_04,4,교통시설정보구분 코드 (도로중심선)
기준점구분_Code,THE_CLS_ATR_010,4,기준점구분 코드
기준점등급_Code,THE_CLS_ATR_011,4,기준점등급 코드
나루구분_Code,THE_CLS_ATR_012,4,나루구분 코드
나무구분_Code,THE_CLS_ATR_013,4,나무구분 코드
도로구분_Code_tn_rodway_bndry,THE_CLS_ATR_014_01,4,도로구분 코드 (도로경계면)
도로구분_Code_tn_rodway_bndryln,THE_CLS_ATR_014_02,4,도로구분 코드 (도로경계선)
도로구분_Code_tn_rodway_ctln,THE_CLS_ATR_014_03,4,도로구분 코드 (도로중심선)
